Cluster,Top Features,Subject
0,CER,会计学
0,CER,物流管理
1,IRS,法学
1,IRS,环境科学
1,IRS,考古学
2,AEI,服装设计
3,RIC,冶金工程
3,RIC,纺织工程
3,RIC,生物学
4,ISA,药学
4,ISA,化学
4,ISA,心理学
5,ERI,食品学
6,ESR,人力资源管理
7,SIC,社会学
8,RIC,电气工程
8,RIC,轻化工程
9,RIS,护理学
9,RIS,麻醉学
9,RIS,审计学
9,RIS,建筑学
9,RIS,统计学
10,IRE,电气工程及其自动化
10,IRE,自动化
10,IRE,软件工程
10,IRE,数字媒体技术
10,IRE,物联网工程
10,IRE,工商管理
10,IRE,车辆工程
10,IRE,旅游管理
10,IRE,市场营销
11,ESA,市场营销
12,ARI,景观设计
12,ARI,建筑学
13,IRA,计算机科学与技术
13,IRA,汉语言文学
13,IRA,临床医学
13,IRA,小学教育
13,IRA,动物医学
13,IRA,数学与应用数学
13,IRA,医学影像学
13,IRA,学前教育
13,IRA,新能源科学与工程
14,RIS,放射学
15,REC,交通管理
15,REC,物流工程
16,AES,广告学
17,IRA,口腔医学
17,IRA,人工智能
17,IRA,机械设计制造及其自动化
17,IRA,通信工程
17,IRA,中医学
17,IRA,英语
17,IRA,口腔医学（专科）
17,IRA,土木工程
17,IRA,数据科学与大数据
17,IRA,网络与新媒体
17,IRA,生物工程
17,IRA,食品科学与工程
17,IRA,电子商务
17,IRA,历史学
18,IAS,哲学
19,IRC,电子信息工程
19,IRC,金融学
19,IRC,信息安全
19,IRC,城市规划
